ID,Y,X
3005004,37.5708845,126.9733308
4100210,37.5814197,126.9651757
3100012,37.5869804,126.9690947
4100140,37.5691894,126.9860744
4100126,37.5736483,126.9629479
4100504,37.6118628,126.9760646
4100443,37.5743516,127.0134821
4100071,37.5840163,127.0049441
4100547,37.5896241,127.0009887
4100364,37.5749909,127.0186635
4100243,37.5777358,127.007768
4100443,37.574664,127.0136347
4100025,37.5743017,127.008452
4100379,37.5764354,127.0167968
4100539,37.58875,126.9986365
4100411,37.582117,126.99984
3005008,37.5828403,126.9981805
4100200,37.5765775,127.0202197
4100442,37.5748984,127.0119425
4100313,37.569886,126.992706
4100380,37.5780003,127.0165332
4100362,37.5732312,127.0189829
4100415,37.585692,126.998298
4100552,37.6006445,126.9554994
3100009,37.5734773,126.9823033
4100267,37.5810099,126.9694299
4100443,37.5740128,127.0130353
4100253,37.5733362,126.98666
3100012,37.6000624,126.9601303
4100216,37.5732762,126.992071
4100014,37.581754,126.9870885
3000008,37.571681,126.9615962
4100216,37.5753039,126.9913795
4100046,37.5817922,127.0002113
3100013,37.5729968,127.0147678
4100239,37.5761319,126.9889312
4100336,37.570014,127.0060116
4100014,37.5820803,126.9869982
4100404,37.5740889,126.9985133
4100203,37.5782342,127.0205957
4100017,37.5802047,127.0063364
4100159,37.572732,126.97405
4100476,37.5708605,126.964158
3005008,37.5741798,126.9977733
4100239,37.5760603,126.9889995
4100282,37.5765756,126.9733873
4100501,37.6111998,126.9745182
4100396,37.60583,126.9571555
4100394,37.6079326,126.9582134
4100151,37.5823191,126.9818276
4100253,37.5732578,126.9869534
4100488,37.6069152,126.9670809
4100495,37.6108016,126.971198
4100504,37.6117797,126.9762223
3100013,37.5707348,127.0052863
4100124,37.5752477,126.9709313
4100502,37.6061132,126.9636146
4100241,37.5770516,127.0056765
4100221,37.5762999,127.004778
4100124,37.5748802,126.9710814
4100507,37.6143212,126.9757877
4100488,37.606954,126.9680585
4100479,37.5752615,126.9580127
4100174,37.5846952,127.0001413
4100162,37.5714531,126.9757819
4100478,37.5743168,126.9614436
3100013,37.5714114,127.0080133
4100478,37.5738419,126.961258
4100343,37.5708381,127.0102875
4100476,37.5706107,126.963317
4100346,37.570932,127.0125079
3100013,37.5703704,126.995788
4100404,37.5745248,126.9997078
4100404,37.5752961,127.0015442
4100404,37.5744935,126.9984103
4100020,37.5811772,127.0129659
4100363,37.5753112,127.019113
4100223,37.57593,127.0058894
4100020,37.5800663,127.0066153
4100147,37.5753623,126.9897049
4100446,37.5764116,127.0117119
4100355,37.571978,127.014698
4100484,37.5697995,126.9652351
4100344,37.5716576,127.012186
4100046,37.5817496,127.0006893
4100165,37.5910501,126.9945088
4100034,37.5824378,127.0002032
4100207,37.5802028,126.9661326
4100445,37.5747766,127.0117687
3000008,37.5695041,126.9639269
4100377,37.5762738,127.0161816
4100181,37.6000292,126.9625729
2100001,37.5741262,126.9868604
4100523,37.5846347,126.9671514
4100461,37.5910372,126.963707
4100276,37.5832552,126.9691461
4100306,37.570963,126.9855965
4100239,37.5766149,126.98944
3100013,37.5706896,127.0058653
4100453,37.575905,127.0107053
4100012,37.5826172,126.9876745
4100548,37.5893853,127.0019034
4100150,37.5805153,126.981085
4100370,37.5760209,127.0201698
4100353,37.57145,127.013424
4100210,37.5807365,126.9650991
4100259,37.5724643,126.9861418
