road_name,num_lanes_in,num_lanes_out,all_day_traffic_in,all_day_traffic_out,traffic_per_lane_in,traffic_per_lane_out,all_day_speed_in,all_day_speed_out,mor_speed_in,mor_speed_out,dt_speed_in,dt_speed_out,aft_speed_in,aft_speed_out,mor_speed_day_in,mor_speed_day_out,dt_speed_day_in,dt_speed_day_out,aft_speed_day_in,aft_speed_day_out,peak_traffic_in,peak_traffic_out,day_time_traffic_in,day_time_traffic_out,weekend_traffic_in,weekend_traffic_out,peak_traffic_day_in,peak_traffic_day_out,day_time_day_in,day_time_day_out,weekend_day_in,weekend_day_out,LON,LAN
오리로,2,2,16119,14459,8059.5,7229.5,28.8,28.2,31.3,24,31.5,29.5,20.7,28.1,1.086805556,0.85106383,1.09375,1.046099291,0.71875,0.996453901,1110,940,10760,9688,23856,24583,0.068862833,0.065011412,0.667535207,0.670032506,1.479992555,1.700186735,126.8785,37.4441
화랑로,3,4,40066,22249,13355.33333,5562.25,27.6,26.5,30,27.4,28.5,26.6,23,22.9,1.086956522,1.033962264,1.032608696,1.003773585,0.833333333,0.864150943,2249,1284,25100,13162,38633,33889,0.056132382,0.057710459,0.626466331,0.59157715,0.964234014,1.523169581,127.0519,37.6086
창경궁로,4,2,28398,16999,7099.5,8499.5,20.7,23.7,22.6,29.8,18.9,23.7,19.1,18.7,1.09178744,1.257383966,0.913043478,1,0.922705314,0.789029536,2157,1039,18235,9715,63537,75443,0.075956053,0.061121242,0.642122685,0.571504206,2.237375872,4.438084593,126.9982,37.5655
백제고분로,4,3,22178,19676,5544.5,6558.666667,20.9,20,23.2,23.2,20.6,19.5,19.1,17.8,1.110047847,1.16,0.985645933,0.975,0.913875598,0.89,1310,1316,13706,13797,38670,33478,0.059067544,0.066883513,0.61799982,0.701209595,1.743619803,1.701463712,127.0952,37.5025
천호대로,6,6,37259,41204,6209.833333,6867.333333,26.6,26.3,29.6,29.1,26.7,26.2,22.7,22.4,1.112781955,1.106463878,1.003759398,0.996197719,0.853383459,0.851711027,2555,2710,25835,29305,15458,13707,0.068574036,0.065770314,0.693389517,0.711217358,0.414879626,0.332661877,127.0488,37.5697
망우로,3,3,19438,18067,6479.333333,6022.333333,22,22.2,24.5,28.1,21.5,21.7,19.9,16.9,1.113636364,1.265765766,0.977272727,0.977477477,0.904545455,0.761261261,1442,1231,12787,12389,19690,20717,0.074184587,0.068135274,0.657835168,0.685725356,1.012964297,1.146676261,127.0623,37.5893
도봉로,4,3,25340,25873,6335,8624.333333,22.6,22.7,25.2,26.8,22.9,22.2,19.5,19.5,1.115044248,1.18061674,1.013274336,0.977973568,0.862831858,0.859030837,1510,1406,16244,15585,19903,16690,0.059589582,0.054342365,0.641041831,0.6023654,0.785438043,0.645074015,127.0302,37.6107
금하로,3,3,19723,14738,6574.333333,4912.666667,19.2,19,21.6,20.9,19.6,18.9,17.1,16.7,1.125,1.1,1.020833333,0.994736842,0.890625,0.878947368,1341,906,14108,10116,47349,49681,0.067991685,0.061473741,0.715307002,0.686388927,2.400699691,3.370945854,126.9068,37.4523
동호로,2,2,35517,34829,17758.5,17414.5,22.2,24,25,29.2,20.1,24,20.3,18.1,1.126126126,1.216666667,0.905405405,1,0.914414414,0.754166667,2142,2018,23851,22520,22139,18330,0.060309148,0.057940222,0.671537574,0.646587614,0.623335304,0.526285567,127.0014,37.5703
서빙고로,3,4,51288,44410,17096,11102.5,31,35.5,35.1,39.3,32.8,36.2,22.1,30.9,1.132258065,1.107042254,1.058064516,1.01971831,0.712903226,0.870422535,2968,2687,32764,28730,23108,27999,0.057869287,0.060504391,0.638823896,0.646926368,0.450553736,0.630466111,126.9922,37.5203
뚝섬로,2,2,35873,35895,17936.5,17947.5,20.3,21.6,23.2,25.6,20.9,21.8,17.1,18.4,1.142857143,1.185185185,1.02955665,1.009259259,0.842364532,0.851851852,2537,2199,25525,23104,24233,22922,0.070721713,0.061262014,0.711537925,0.643655105,0.67552198,0.638584761,127.0474,37.5407
종로,4,4,34248,37918,8562,9479.5,20.2,20.7,23.1,28,18.5,18.7,17.7,16,1.143564356,1.352657005,0.915841584,0.903381643,0.876237624,0.77294686,1937,2148,21961,23950,22479,19077,0.056558047,0.056648557,0.641234525,0.631626141,0.656359495,0.503111978,127.0006,37.5709
언주로,3,3,36497,30545,12165.66667,10181.66667,28.1,29.2,32.3,34.1,28.5,29,22.7,25.1,1.149466192,1.167808219,1.014234875,0.993150685,0.807829181,0.859589041,2358,1984,25294,18687,27081,28069,0.06460805,0.064953348,0.693043264,0.61178589,0.742006192,0.91893927,127.0436,37.502
진흥로,2,2,20874,24219,10437,12109.5,26.7,26.5,31.1,26.5,27.3,26.8,22.2,24.7,1.164794007,1,1.02247191,1.011320755,0.831460674,0.932075472,1696,1807,14957,15139,45865,38793,0.081249401,0.074610843,0.716537319,0.625087741,2.197231005,1.60175895,126.9566,37.6077
사평대로,4,4,55226,48783,13806.5,12195.75,22.3,26.1,26.1,30.9,21.1,27.8,19,18.3,1.170403587,1.183908046,0.946188341,1.0651341,0.852017937,0.701149425,3051,2777,33669,31386,29118,31178,0.055245718,0.056925568,0.609658494,0.643379866,0.527251657,0.639116086,127.0043,37.5025
세종대로,6,5,42640,40269,7106.666667,8053.8,21.4,22.4,25.3,25,21.3,21.9,17.7,19.5,1.182242991,1.116071429,0.995327103,0.977678571,0.827102804,0.870535714,2735,2423,30090,27211,63493,60801,0.064141651,0.060170354,0.705675422,0.675730711,1.489047842,1.509871117,126.9753,37.5628
율곡로,3,3,31436,27089,10478.66667,9029.666667,20,18.6,24.2,23.3,19.6,17.1,15.4,14.8,1.21,1.252688172,0.98,0.919354839,0.77,0.795698925,1766,1561,19784,17643,39458,42791,0.056177631,0.057624866,0.629342155,0.651297575,1.255185138,1.579644874,126.9962,37.5762
반포대로,4,5,53943,48768,13485.75,9753.6,25.9,24.4,32.1,28.8,25,24.4,18.4,19.2,1.239382239,1.180327869,0.965250965,1,0.71042471,0.786885246,3169,3270,34648,33674,8460,9183,0.058747196,0.067052165,0.642307621,0.690493766,0.156832212,0.188299705,126.995,37.5177
소파로,1,1,16139,15445,16139,15445,23.9,26.9,29.9,31.2,22.7,23.9,19.1,26.9,1.251046025,1.159851301,0.949790795,0.888475836,0.79916318,1,1441,1380,12742,11878,31062,33473,0.089286821,0.089349304,0.789516079,0.769051473,1.924654563,2.167238589,126.985,37.5569
을지로,2,4,16580,18972,8290,4743,20.7,21,25.9,27.1,20,20.1,15.9,17,1.251207729,1.29047619,0.966183575,0.957142857,0.768115942,0.80952381,938,1111,10197,12098,50086,44844,0.056574186,0.058559983,0.615018094,0.637676576,3.020868516,2.363693865,126.9947,37.5664
강서로,2,2,21626,19974,10813,9987,20.7,22,26,24.6,20.3,21.4,16,20.4,1.256038647,1.118181818,0.980676329,0.972727273,0.77294686,0.927272727,1159,1119,13093,12102,46031,42068,0.053592897,0.05602283,0.605428651,0.605887654,2.128502728,2.106137979,126.838,37.554
장충단로,3,3,24126,32549,8042,10849.66667,21.9,24.4,28.1,30.2,19.9,23.8,19.3,18.7,1.283105023,1.237704918,0.908675799,0.975409836,0.881278539,0.766393443,1470,2068,16079,22360,31271,26804,0.060930117,0.063534978,0.666459421,0.686964269,1.296153527,0.823496882,127.0058,37.5599
강남대로,5,5,33488,33129,6697.6,6625.8,20.6,22.5,26.5,27,19.6,21.7,16.6,19.3,1.286407767,1.2,0.951456311,0.964444444,0.805825243,0.857777778,1661,1655,19410,19267,15637,17655,0.049599857,0.049956232,0.579610607,0.581575055,0.466943383,0.53291678,127.0111,37.5292
테헤란로,4,4,32411,47021,8102.75,11755.25,19.2,21.2,24.7,27.9,20.8,18.2,15.9,15.2,1.286458333,1.316037736,1.083333333,0.858490566,0.828125,0.716981132,1909,2725,19639,28949,29327,42847,0.058899756,0.05795283,0.605936256,0.615661088,0.90484712,0.911231152,127.0474,37.5407
퇴계로,3,2,23988,12511,7996,6255.5,18.5,21.8,24.4,27,16.6,21.5,14.1,17.6,1.318918919,1.23853211,0.897297297,0.986238532,0.762162162,0.80733945,1425,675,15548,7575,20608,16719,0.059404702,0.053952522,0.648157412,0.605467189,0.859096215,1.336344017,126.9978,37.5615
