"","road_ID","Y","X"
"2698",3005008,37.5647765,126.998669
"2718",3005008,37.5703197,126.9985732
"2736",3005008,37.5658193,126.9987525
"2809",3005008,37.5634036,126.9977984
"3030",3005008,37.5867884,127.0030324
"3188",3005008,37.5646377,126.9977471
"3473",3005008,37.567659,126.998191
"3661",3005008,37.5660739,126.9979959
"3829",3005008,37.5657705,126.9986454
"4217",3005008,37.5655712,126.9982757
"4222",3005008,37.5654255,126.998629
"4450",3005008,37.5828543,126.998421
"4451",3005008,37.5834434,126.9997174
"4452",3005008,37.5834429,126.9990453
"4546",3005008,37.5782983,127.0003003
"5869",3005008,37.5652895,126.9985051
"6371",3005008,37.5683412,126.9975266
"19923",3005008,37.5879483,127.0055104
"21191",3005008,37.5878613,127.0050221
"22116",3005008,37.58829,127.00525
"22461",3005008,37.5880997,127.005149
"66274",3005008,37.5682118,126.9986872
"66606",3005008,37.5838411,127.0003661
"66994",3005008,37.5650407,126.9986521
"35",3100013,37.5729968,127.0147678
"55",3100013,37.5707348,127.0052863
"67",3100013,37.5714114,127.0080133
"72",3100013,37.5703704,126.995788
"99",3100013,37.5706896,127.0058653
"181",3100013,37.5707265,127.0064156
"183",3100013,37.5713221,127.0057009
"443",3100013,37.5729235,127.0001283
"590",3100013,37.5718419,127.0121362
"781",3100013,37.5719564,127.013512
"864",3100013,37.5707417,127.0034913
"999",3100013,37.5743403,127.0196676
"1138",3100013,37.5706009,126.9988826
"1140",3100013,37.5712538,127.0084548
"1141",3100013,37.5705637,126.9992638
"1240",3100013,37.5731499,127.0170068
"1260",3100013,37.573228,127.0151964
"1417",3100013,37.5697025,126.9784526
"1429",3100013,37.5725838,127.0127618
"1548",3100013,37.5706014,126.9846317
"2221",3100013,37.5743248,127.0193491
"2246",3100013,37.5696457,126.9799163
"2351",3100013,37.5706757,126.9989902
"2353",3100013,37.5702843,126.9936598
"2501",3100013,37.5737282,127.0185696
"2644",3100013,37.570664,127.0057103
"2682",3100013,37.5725397,127.0130482
"2692",3100013,37.5704911,127.0053656
"2790",3100013,37.5729729,127.0143125
"2819",3100013,37.5705926,126.9999044
"3043",3100013,37.5731522,127.0172632
"3061",3100013,37.5722746,127.0121416
"3161",3100013,37.573979,127.0197473
"3275",3100013,37.5735611,127.016674
"4729",3100013,37.5719854,127.0109086
"66667",3100013,37.5726992,127.0139882
"66789",3100013,37.5720948,127.0117326
"67156",3100013,37.5704242,126.9956177
"67247",3100013,37.5712293,127.002965
"1759",3101011,37.5658496,127.0182769
"1830",3101011,37.5618722,126.998202
