"","loc","go","ex"
"133","경기도 부천시 소사구 심곡본1동",4908,1139
"134","경기도 의왕시 내손1동",4908,146
"135","경기도 고양시 일산서구 송산동",4904,599
"136","경기도 안양시 만안구 석수3동",4890,49
"137","경기도 의정부시 신곡2동",4884,413
"138","경기도 용인시 기흥구 상갈동",4853,1140
"139","경기도 안양시 만안구 안양9동",4834,162
"140","경기도 수원시 팔달구 매산동",4827,11328
"141","경기도 고양시 덕양구 화정1동",4822,299
"142","경기도 의왕시 청계동",4818,1344
"143","경기도 안양시 만안구 안양2동",4814,3223
"144","경기도 광명시 철산3동",4810,3553
"145","경기도 성남시 분당구 구미동",4797,3444
"146","경기도 수원시 영통구 매탄4동",4735,323
"147","경기도 안산시 상록구 일동",4718,951
"148","경기도 시흥시 목감동",4713,888
"149","경기도 고양시 일산서구 일산3동",4701,802
"150","경기도 부천시 오정구 신흥동",4695,1431
"151","경기도 양주시 백석읍",4673,276
"152","경기도 광명시 광명6동",4667,304
"153","경기도 수원시 권선구 곡선동",4666,786
"154","경기도 용인시 처인구 포곡읍",4646,683
"155","경기도 용인시 처인구 중앙동",4643,2349
"156","경기도 안양시 만안구 박달1동",4618,861
"157","경기도 광명시 하안1동",4617,259
"158","경기도 안양시 동안구 신촌동",4613,393
"159","경기도 파주시 조리읍",4588,792
"160","경기도 수원시 장안구 율천동",4586,3150
"161","경기도 의왕시 내손2동",4584,82
"162","경기도 성남시 중원구 상대원2동",4570,152
"163","경기도 용인시 처인구 역삼동",4533,294
"164","경기도 성남시 수정구 시흥동",4523,392
"165","경기도 안산시 단원구 선부2동",4522,387
"166","경기도 시흥시 은행동",4516,386
"167","경기도 용인시 기흥구 보정동",4495,1325
"168","경기도 성남시 중원구 상대원3동",4494,381
"169","경기도 의정부시 의정부1동",4480,5348
"170","경기도 양주시 회천3동",4477,394
"171","경기도 안양시 만안구 안양6동",4458,2471
"172","경기도 군포시 금정동",4456,411
"173","경기도 고양시 일산서구 일산2동",4445,564
"174","경기도 부천시 원미구 상3동",4427,2755
"175","경기도 성남시 수정구 신흥3동",4396,1018
"176","경기도 구리시 수택2동",4343,72
"177","경기도 부천시 오정구 오정동",4343,851
"178","경기도 부천시 원미구 상동",4322,707
"179","경기도 부천시 원미구 원미1동",4315,193
"180","경기도 용인시 기흥구 상하동",4305,146
"181","경기도 안산시 상록구 성포동",4301,1236
"182","경기도 성남시 분당구 서현2동",4264,688
"183","경기도 구리시 수택1동",4243,610
"184","경기도 안산시 상록구 본오3동",4236,3348
"185","경기도 군포시 군포1동",4214,1191
"186","경기도 파주시 문산읍",4201,1161
"187","경기도 성남시 분당구 이매1동",4170,2643
"188","경기도 하남시 덕풍1동",4162,652
"189","경기도 안양시 동안구 관양2동",4088,6358
"190","경기도 광명시 광명7동",4062,140
