"week","brand","volume","price","promo","wpr"
59,1,138874,0.0522576580209398,0,0.0415097172976943
60,1,105688,0.0535258496707289,0.102641737945651,0.0425650785425025
61,1,111087,0.0513656863539388,0,0.0395365838937049
62,1,168798,0.0513623384163319,0,0.0394193343641512
63,1,106544,0.0510090666766782,0.142363718276017,0.0393831892645292
64,1,161773,0.0507666915987217,0,0.0388673557763038
65,1,120215,0.0516389801605457,0,0.0396913949923055
66,1,163245,0.0479837054733682,0.415743208061503,0.0376270024931851
67,1,152118,0.0489403620873269,0.25670860779132,0.0383400443077085
68,1,166795,0.0501839383674571,0.37599448424713,0.0399238239215804
69,1,152294,0.0489092807333184,0.352069024387041,0.0394637040592538
70,1,160165,0.0506117441388568,0.14025536165829,0.0395929704866856
71,1,169582,0.050787406682313,0.370286940830985,0.0393982571617271
72,1,147136,0.0530567638103523,0.293334058286211,0.0409522489941279
73,1,118635,0.0533729506469423,0.309562945167952,0.041101421730518
74,1,478146,0.042501265303903,0.295867789336312,0.0265108743919221
75,1,123254,0.0516220163240138,0.718751521248803,0.0412776241825823
76,1,107448,0.0525111681929864,0.430831658104385,0.0416907472824064
77,1,131347,0.0525346600988222,0.141792351557325,0.0402006766275591
78,1,120637,0.0529679948937722,0.264893855119076,0.0384984195396106
79,1,132428,0.0534515359289576,0.132298305494306,0.0381434450569366
80,1,120580,0.0563775916404047,0,0.0403901832061702
81,1,120057,0.0580366825757765,0,0.0438861105308312
82,1,137011,0.0611303471984001,0.184656706395837,0.0470477293647955
83,1,336614,0.060797114796176,0.765131575038471,0.0543957016463962
84,1,127512,0.0575117635987201,0.499498086454608,0.0453312414596273
85,1,108544,0.0563599093455189,0.368569428066038,0.0446328164799528
86,1,112125,0.0534785284280936,0.22631884057971,0.0416184701270903
87,1,105671,0.0521500695555072,0.387466760038232,0.0408856271919448
88,1,125020,0.0524894416893297,0.19760038393857,0.0394804729723244
89,1,122146,0.0530452081934734,0.284168126668086,0.0401831244412425
90,1,123105,0.0537679216928638,0.231793996994436,0.0407086283497827
91,1,116040,0.054575922095829,0.0985866942433643,0.0420458940451568
92,1,116419,0.0533514288904732,0.636244942835791,0.0409023707556327
93,1,148555,0.0548942142640773,0.426151930261519,0.0418591539362526
94,1,255815,0.0530232785411332,0.703930574829467,0.0448933211265954
95,1,137454,0.0531475984693061,0.480116984591209,0.0445894975919217
96,1,116499,0.0554852831354776,0,0.0424749284199864
97,1,110308,0.0541894513543895,0.0843637814120463,0.0416567559832469
98,1,106740,0.0529355443132846,0,0.0405862905939667
99,1,92185,0.0533988175950534,0.0867820144275099,0.041138587980691
100,1,83645,0.0528175025404985,0,0.0407725422081415
101,1,102359,0.0545094227180805,0.133490948524312,0.0411180645473285
102,1,92268,0.0532472796635887,0.167013482464126,0.0405345372068323
103,1,118511,0.0558966678198648,0.144189146999013,0.0434833684299348
104,1,473283,0.0427121193873433,0.0228277795737434,0.0280402607446285
105,1,96233,0.0520160443922563,0.601519229370382,0.0408012469942743
106,1,101500,0.0533852216748769,0,0.039455003773399
107,1,112047,0.0529433184288736,0,0.0398841028943211
108,1,124542,0.0514384705561176,0.00156573685985451,0.0394051558349794
109,1,118784,0.0513650828394397,0.00273605872844828,0.0402447637308055
110,1,120719,0.0519992710343856,0,0.041063594844225
111,1,127078,0.0502775460740647,0.41584696013472,0.039034002108941
112,1,174409,0.0505885017401625,0.521337775000143,0.0392027079795194
113,1,127277,0.0502856761237301,0.390785452202676,0.0379962166377272
114,1,140089,0.0504646331974673,0.339983867398582,0.03788023507199
115,1,204546,0.0503827989792027,0.229122055674518,0.0381237516891066
116,1,131141,0.0505516962658513,0.463851884612745,0.0384499339489557
117,1,172515,0.0498771121351766,0.369921456105266,0.0378854146364084
118,1,194544,0.0489542725553088,0.81060325684678,0.0371325130613126
119,1,167621,0.0496299389694609,0.3107247898533,0.0376531730570752
120,1,155640,0.049911076843999,0.698368028784374,0.0384650174890774
59,2,241331,0.0594971636466098,0.162880027845573,0.0465893217323924
60,2,272423,0.0571746878934598,0.340679751709657,0.0449936626863371
61,2,198992,0.0599602999115542,0.13067862024604,0.0447866047780815
62,2,250664,0.0600038298279769,0.061771933743976,0.0451203394504197
63,2,159971,0.0607657012833576,0.0236292828075089,0.0460343557769846
64,2,230479,0.0607893126922626,0,0.0460830211168913
65,2,170453,0.0618053070347838,0.0517444691498536,0.0470469117058661
66,2,184588,0.0623860164257698,0.0602205993889094,0.0473826196773355
67,2,208714,0.0617331851241412,0.15010013702962,0.047325007086252
68,2,256886,0.0605399282171858,0.217769750005839,0.0460109976137275
69,2,237106,0.0610261233372416,0.178030079373782,0.0468455937428829
70,2,215790,0.0606608276565179,0.262597896102692,0.0460308119699708
71,2,192783,0.0609622736444604,0.225268825570719,0.0474796103338987
72,2,193229,0.0609472698197476,0.237148668160576,0.0476268990317188
73,2,190321,0.0612239847415682,0.273264642367369,0.0485974270259194
74,2,167235,0.0612167907435644,0.300654767243699,0.048717207917003
75,2,329252,0.0581741340978946,0.224393473691883,0.0480748079920547
76,2,163329,0.0611953174267889,0.157510301293708,0.0489718487959885
77,2,188120,0.0613767276206677,0.0513714650223262,0.0485347773017223
78,2,161045,0.0619392716321525,0.0610015834083641,0.046748160625912
79,2,199952,0.0615453208770105,0.0472113307193727,0.0473471550472113
80,2,244228,0.0576730759781843,0.228778027089441,0.0462707438950489
81,2,217437,0.0575288014459361,0,0.0450242375676633
82,2,171475,0.0608228604752879,0,0.0458901454964281
83,2,159292,0.0609107174246039,0,0.0459445590927354
84,2,149332,0.0604092224037715,0,0.0460260082299842
85,2,170615,0.0575689124637341,0.254133575594174,0.0465124954370952
86,2,250976,0.0576900181690679,0.331581505801351,0.0479037887447405
87,2,184338,0.0578623506818995,0.244751489112391,0.0458723413891873
88,2,187679,0.0581569594893408,0.301999690961695,0.0464812336862409
89,2,205526,0.0603568404970661,0.0623570740441599,0.0488782734690502
90,2,203246,0.0612399260010037,0.169922163289806,0.0494836766726036
91,2,630815,0.0485781726813725,0.451484191086135,0.0408950966273789
92,2,154255,0.0622855661080678,0.0780007131049237,0.0488119904897734
93,2,213669,0.0620029578460142,0.209211443868788,0.0497782879032522
94,2,261134,0.0620312176890026,0.118000719936891,0.0487051463041963
95,2,245058,0.0607119130981237,0.0566967819863053,0.0478680902398616
96,2,235730,0.0618939888855894,0.0358376108259449,0.0487616405760828
97,2,225457,0.0628982023179586,0.179448852774587,0.0486518656905751
98,2,177831,0.0629649498681332,0.282796587771536,0.0486359506497742
99,2,188385,0.0637785917137776,0.0809193937946228,0.0488529098017358
100,2,463867,0.0619467864711221,0.0815427698025512,0.0467964713808053
101,2,234323,0.0621492128386885,0.117530076006197,0.0488794594000589
102,2,1206364,0.0463619272458396,0.781006396079459,0.041328670316281
103,2,207153,0.0622665855671895,0.161257621178549,0.0466898331957539
104,2,162606,0.0611946668634614,0.171980123734672,0.0461615836869488
105,2,551614,0.0591334157581207,0.418930629026819,0.0479510825849235
106,2,541395,0.0586736486299282,0.482974537999058,0.0479996544002069
107,2,217670,0.0596834657968484,0.286911379611338,0.0458942251114072
108,2,285961,0.0552643192603187,0.376128213287826,0.044597153464983
109,2,357110,0.0549247290750749,0.616641931057657,0.0481362670997732
110,2,234152,0.0583416754928422,0.136577949366224,0.0461742099747173
111,2,174382,0.0562891238774644,0.32819327682903,0.0451295655514904
112,2,225356,0.0570671737162534,0.0981691190826958,0.0445795680612009
113,2,407303,0.052865925367601,0.615627677674851,0.0406588776561921
114,2,371578,0.0538877974476422,0.611798868609013,0.0424912780008504
115,2,323491,0.0561804810643882,0.485871322540658,0.0426334811107573
116,2,207431,0.0563927281843119,0.398768747197863,0.0414697756169521
