"","PARKING_CODE","PARKING_NAME","ADDR","CAPACITY","PAY_NM","LAT","LNG","RATES","TIME_RATE","ADD_RATES","ADD_TIME_RATE"
"498","1525590","가산중앞(구)","금천구 독산동 300-26","20","유료","37.46837106","126.89497973","500","10","500","10"
"518","1454285","가압장앞(구)","노원구 상계동 117-6","25","유료","37.66620704","127.07569376","150","5","0","0"
"543","1504317","가양3동 황금내공원길(구)","강서구 가양동 1485-0","80","유료","37.56226342","126.86310069","100","5","100","5"
"6231","968483","가오리 공영주차장(구)","강북구 수유동 349-3","120","유료","37.64160736","127.01498164","150","5","150","5"
"624","172777","갈현1동공영주차장(구)","은평구 갈현동 9-112","61","유료","37.62648828","126.91533796","100","5","100","5"
"625","1033125","강남관광정보센터-공영주차장(구)","강남구 압구정동 428-0","360","유료","37.52701729","127.02647115","400","5","400","5"
"626","172144","강변(건물)(구)","성동구 성수동1가 366-1","107","유료","37.53696583","127.04904251","100","5","100","5"
"627","1366395","개봉1동 노외주차장(시)","구로구 개봉동 134-8","134","유료","37.50001376","126.8510351","100","5","100","5"
"628","1366394","개봉1동마을공동주차장(구)","구로구 개봉동 416-2","56","유료","37.50455714","126.84608459","50","5","50","5"
"629","173860","개운산(구)","성북구 종암동 54-182","27","유료","37.59688064","127.02640598","900","30","300","10"
"630","173468","개포동공원(구)","강남구 개포동 183-2","149","유료","37.48949036","127.06623841","200","5","200","5"
"631","1042423","개포로24길33(구)","강남구 개포동 1204-0","36","유료","37.47715365","127.04992891","200","5","200","5"
"632","1277148","개화산역(시)","강서구 방화동 526-16","310","유료","37.5725151417","126.804391913","100","5","100","5"
"633","173886","거여동 공영주차장(구)","송파구 거여동 33-16","137","유료","37.49227702","127.15038338","50","5","50","5"
"634","1535915","거주자우선주차장(구)","성동구 마장동 783-7","124","유료","37.56642634","127.04498517","250","5","250","5"
"671","1534666","거주자우선주차장(구)","성동구 성수동2가 276-5","58","유료","37.54066358","127.05569333","250","5","250","5"
"855","1577817","동서시장 과일채소부 공영주차장(구)","동대문구 제기동 849-0","94","유료","37.57982414","127.0408616","300","10","300","10"
"949","1577863","동서시장 식품 공영주차장(구)","동대문구 제기동 854-1","65","유료","37.58230772","127.04052175","300","10","300","10"
"14","172184","동서울 노외주차장(구)","광진구 구의동 598-1","25","유료","37.53352007","127.0913292","250","5","250","5"
"15","1514883","동서울 호텔길 공영주차장(B)(구)","광진구 구의동 735-0","34","유료","37.53196168","127.09189313","250","5","250","5"
"25","1514755","동서울 호텔길 공영주차장(B)(구)","광진구 자양동 735-0","19","유료","37.53157826","127.09173722","250","5","250","5"
