"","PARKING_CODE","PARKING_NAME","ADDR","CAPACITY","PAY_NM","LAT","LNG","RATES","TIME_RATE","ADD_RATES","ADD_TIME_RATE"
"528","1525109","통일중공업~천지산업(구)","금천구 가산동 371-57","9","유료","37.47769172","126.88287962","500","10","500","10"
"537","140652","파리공원(시)","양천구 목동 906-1","42","유료","37.53390306","126.87654112","150","5","150","5"
"5621","1546919","한강로2가동(구)","용산구 한강로2가 412-0","24","유료","37.52919225","126.96975304","250","5","250","5"
"586","1550364","한강쇼핑(구)","용산구 이촌동 301-5","15","유료","37.5206902","126.97126216","250","5","250","5"
"601","1543335","한국거래소앞 노상주차장(구)","영등포구 여의도동 33-0","33","유료","37.52214771","126.92789906","1000","10","1000","10"
"634","1511025","한국관광공사옆 노상공영주차장(구)","중구 다동 18-0 0","9","유료","37.56836964","126.9820308","600","5","600","5"
"643","1540613","한국통신(시)","양천구 목동 924-5","27","유료","37.52824981","126.87185989","250","5","250","5"
"675","1033754","포이초교(구)","강남구 개포동 1273-0","194","유료","37.47564571","127.05236496","200","5","200","5"
"676","173891","풍납1공영주차장(구)","송파구 풍납동 154-0","56","유료","37.53551936","127.12029156","50","5","50","5"
"677","173890","풍납2 공영주차장(구)","송파구 풍납동 175-0","81","유료","37.53604678","127.11607498","50","5","50","5"
"678","1421476","풍납유수지공영주차장(구)","송파구 풍납동 387-0","234","유료","37.52529597","127.10604326","250","5","250","5"
"679","173864","필동 공영주차장(구)","중구 필동3가 62-12","48","유료","37.55660191","126.99589418","150","5","150","5"
"680","1366393","하늘공원주차장(구)","구로구 가리봉동 1-11","198","유료","37.48713079","126.88080148","150","5","150","5"
"681","172903","하늘주차장(구)","양천구 신정동 323-33","30","유료","37.51523307","126.86151131","150","5","150","5"
"682","172052","하왕십리(건물)(구)","성동구 하왕십리동 955-34","101","유료","37.56039538","127.02791492","100","5","100","5"
"695","172037","한남유수지공영주차장(구)","용산구 한남동 522-44","159","유료","37.5298673","127.00740065","150","5","150","5"
"696","1056832","한누리(구)","동작구 사당동 1046-1","45","유료","37.47743578","126.97707837","150","5","150","5"
"697","172927","한두공영주차장(구)","양천구 목동 610-5","39","유료","37.54876937","126.86622879","50","5","50","5"
"698","1367218","한마음주차장(구)","양천구 목동 914-5","426","유료","37.53067739","126.8778804","150","5","150","5"
"6991","1451977","한미빌딩옆(구)","종로구 공평동 283-0","2","유료","37.57190485","126.98447777","1000","10","1000","10"
"7011","1451980","한미빌딩옆(구)","종로구 인사동 283-0","7","유료","37.57179781","126.98451337","1000","10","1000","10"
"708","172947","한서 공영주차장(구)","마포구 염리동 24-170","113","유료","37.552871","126.94933329","1000","60","500","30"
"709","1568841","한신동성아파트옆(구)","노원구 하계동 256-7","16","유료","37.63981324","127.07434886","250","5","0","0"
"725","172967","한울주차장(구)","양천구 신월동 957-10","21","유료","37.51995355","126.83176417","50","5","50","5"
"726","1540769","한전뒷길(구)","양천구 신정동 319-25","24","유료","37.51962889","126.86915196","150","5","150","5"
"7501","1544941","한진해운 앞 노상주차장(구)","영등포구 여의도동 25-11","17","유료","37.52302872","126.92524349","1000","10","1000","10"
"7671","1505192","합정 노상 공영주차장(구)","마포구 서교동 394-22","29","유료","37.54843093","126.91900833","400","5","400","5"
"796","173362","행운동제1공영주차장(舊 봉천6동 까치공영주차장)(구)","관악구 봉천동 1677-10","79","유료","37.47993264","126.96067508","150","5","150","5"
