"","ADDR","CAPA","RATE","HOUSEHOLD","POPULATION","CAPA_HOUSE","CAPA_POP","lon","lat","vehicle","PARK","CAPA_car","Public_PARK","radius","private_park"
"1","강남구",4602,2980,233943,568425,0.0196714584321822,0.00809605488850772,127.0473248,37.5172363,198068,184280,0.0232344447361512,0.0249728673757326,0.00832428912524419,179678
"2","강동구",248,2700,180434,453060,0.00137446379285501,0.000547388866816757,127.123762,37.5301251,108976,123385,0.00227573043605932,0.00200996879685537,0.00066998959895179,123137
"3","강북구",1459,2200,141999,330004,0.0102747202445088,0.00442115853141174,127.0256575,37.6396099,59915,65636,0.0243511641492114,0.0222286550063989,0.00740955166879964,64177
"4","강서구",2671,1755,250708,606823,0.0106538283580899,0.00440161299093805,126.8495382,37.5509786,155127,158032,0.0172181502897626,0.0169016401741419,0.00563388005804732,155361
"5","관악구",1082,1560,254395,523859,0.00425322824741052,0.00206544127331973,126.9516133,37.4784063,99750,105340,0.0108471177944862,0.0102715018036833,0.0034238339345611,104258
"6","광진구",1317,2578,159375,371728,0.00826352941176471,0.00354291309774889,127.0822938,37.5384843,77610,77087,0.0169694626981059,0.0170845927328862,0.00569486424429541,75770
"7","구로구",1982,1285,172050,445770,0.011519907003778,0.00444623909190838,126.887369,37.4954031,107793,94693,0.0183870937815999,0.0209307974190278,0.00697693247300927,92711
"8","금천구",1836,2307,105628,254711,0.0173817548377324,0.00720816925849296,126.9020358,37.4518527,61964,50310,0.0296301078045317,0.0364937388193202,0.0121645796064401,48474
"9","노원구",1222,2668,219460,566411,0.00556821288617516,0.00215744397619397,127.056793,37.6541917,128286,132262,0.00952559125703506,0.00923923727147631,0.00307974575715877,131040
"10","도봉구",734,1900,136852,347941,0.00536345833455119,0.00210955305640899,127.0470706,37.6687738,76043,85449,0.00965243349157713,0.00858991913305012,0.00286330637768337,84715
"11","동대문구",2261,2171,159826,368050,0.0141466344649807,0.0061431870669746,127.0400189,37.5743682,75836,72978,0.0298143361991666,0.0309819397626682,0.0103273132542227,70717
"12","동작구",529,1720,172966,411217,0.0030584045419331,0.00128642541529168,126.9392525,37.512402,89342,91133,0.0059210673591368,0.00580470301647043,0.00193490100549014,90604
"13","마포구",2057,2513,169407,388574,0.0121423553926343,0.00529371496806271,126.9084211,37.5637561,94657,97889,0.0217310922594209,0.0210135970333745,0.00700453234445818,95832
"14","서대문구",268,2280,137413,326412,0.00195032493286661,0.000821048245775278,126.9367789,37.5791158,68480,72008,0.00391355140186916,0.00372180868792356,0.00124060289597452,71740
"15","서초구",3185,2421,173417,447936,0.0183661348080061,0.00711039077011002,127.0324112,37.4837121,151705,158982,0.020994693648858,0.0200337145085607,0.00667790483618691,155797
"16","성동구",3093,2007,131474,311831,0.0235255639898383,0.00991883424034172,127.0371025,37.5633415,77361,80690,0.0399813859696746,0.0383318874705664,0.0127772958235221,77597
"17","성북구",865,1737,188100,459276,0.00459861775651249,0.00188339908900095,127.0182146,37.589116,96100,111145,0.00900104058272633,0.00778262629897881,0.00259420876632627,110280
"18","송파구",2581,1571,261155,667898,0.00988301966265245,0.00386436252242109,127.1065971,37.5145437,184685,201678,0.0139751468717005,0.012797627901903,0.00426587596730101,199097
"19","양천구",4523,1523,176861,478119,0.0255737556612255,0.00945998799462059,126.8663985,37.5168721,122159,118787,0.0370255159259653,0.0380765571990201,0.0126921857330067,114264
"20","영등포구",5107,3382,166252,402967,0.0307184274474894,0.0126734943556172,126.8962283,37.5263715,113984,90238,0.04480453396968,0.0565947826857865,0.0188649275619288,85131
"21","용산구",2013,2560,106603,243406,0.0188831458776957,0.00827013302876675,126.9654442,37.5384272,64133,65875,0.0313878970264918,0.0305578747628083,0.0101859582542694,63862
"22","은평구",1177,1254,201971,492835,0.00582756930450411,0.00238822323901509,126.9291119,37.6026957,103364,126247,0.0113869432297512,0.00932299381371439,0.00310766460457146,125070
"23","종로구",916,4839,73091,163521,0.0125323227209916,0.00560172699530947,126.9793579,37.5729503,37195,27947,0.0246269659900524,0.0327763266182417,0.0109254422060806,27031
"24","중구",2745,3934,59368,132838,0.0462370300498585,0.0206642677547087,126.9979403,37.5640907,38461,31782,0.0713709991939887,0.0863696431942609,0.0287898810647536,29037
"25","중랑구",1908,1828,178185,414783,0.0107079720515195,0.00459999566038145,127.0926519,37.6065602,84132,88568,0.02267864783911,0.0215427693975251,0.00718092313250835,86660
